"Asian and Middle Eastern Studies",,,,
,,"Geographical Tripos Part II",,"http://intranet.geog.cam.ac.uk/timetables/courses/partii/"
,,,,
,,"MPhil in Conservation Leadership ",,"http://intranet.geog.cam.ac.uk/timetables/courses/mphilcl/"
,,"MPhil in Environment, Society and Development",,"http://intranet.geog.cam.ac.uk/timetables/courses/mphilesd/"
,,"MPhil in Environmental Science",,"http://intranet.geog.cam.ac.uk/timetables/courses/"
,,"MPhil in Geographical Research",,"http://intranet.geog.cam.ac.uk/timetables/courses/mphilgr/"
,,"MPhil in Multi-Disciplinary Gender Studies",,"http://intranet.geog.cam.ac.uk/timetables/courses/mphilmgs/"
,,"MPhil in Polar Studies",,"http://intranet.geog.cam.ac.uk/timetables/courses/mphilps/"
,,,,
"Economics",,,,
,,"Economics Tripos Part I",,"http://www.econ.cam.ac.uk/intranet/index.html?group=all&topic=all&menu=stu"
,,"Economics Tripos Part IIA",,"http://www.econ.cam.ac.uk/intranet/index.html?group=all&topic=all&menu=stu"
,,"Economics Tripos Part IIB",,"http://www.econ.cam.ac.uk/intranet/index.html?group=all&topic=all&menu=stu"
,,,,
,,"MPhil in Economics",,"http://www.econ.cam.ac.uk/intranet/index.html?group=all&topic=all&menu=stu"
,,"MPhil in Economic Research",,"http://www.econ.cam.ac.uk/intranet/index.html?group=all&topic=all&menu=stu"
,,,,
"Education",,,,
,,"Education Tripos Part I (year 1)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,"Education Tripos Part I (year 2)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,"Education Tripos Part II",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,,,
,,"Postgraduate Certificate in Education (PCGE)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,"Master of Education (Option A)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,"Master of Education (Option B)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,"MPhil in Education (Option B Thematic Route)",,"http://www.educ.cam.ac.uk/courses/lecturelist/"
,,,,
,,,,
"Engineering",,,,
,,"Engineering Tripos Part IA",,"http://www.eng.cam.ac.uk/teaching/lecture_lists/1a_2011_12"
,,"Engineering Tripos Part IB",,"http://www.eng.cam.ac.uk/teaching/lecture_lists/1b_2011_12"
,,"Engineering Tripos Part IIA",,"http://www.eng.cam.ac.uk/teaching/lecture_lists/2a_2011_12"
,,"Engineering Tripos Part IIB",,"http://www.eng.cam.ac.uk/teaching/lecture_lists/2b_2011_12"
,,,,
,,"MEng in Engineering  ",,"http://www.eng.cam.ac.uk/teaching/lecture_lists/2b_2011_12"
,,,,
"English (including Anglo-Saxon, Norse & Celtic)",,,,
,,"English Tripos Part I",,"http://www.english.cam.ac.uk/Lecturelist/"
,,"English Tripos Part II",,"http://www.english.cam.ac.uk/Lecturelist/"
,,,,
,,"MPhil in American Literature",,"http://www.english.cam.ac.uk/Lecturelist/"
,,"MPhil in Anglo-Saxon, Norse and Celtic",,"http://www.asnc.cam.ac.uk/lecturelist/lecturelist.pdf"
,,"MPhil in English Studies [18th Century & Romantic]",,"http://www.english.cam.ac.uk/Lecturelist/"
,,"MPhil in Medieval and Renaissance Literature",,"http://www.english.cam.ac.uk/Lecturelist/"
,,"MPhil in Criticism and Culture",,"http://www.english.cam.ac.uk/Lecturelist/"
